Name,Glass,Ice,Method,Garnish,Recipe Source,Base,Taste,learining notes
Gin & Tonic,Highball,Cubed,Build,Lime Wedge,EBS Inter,Gin,,
Spirit & Mixer,Highball,Cubed,Build,"Lemon Wedge, Lime Wedge, None",EBS Inter,,,
Cuba Libre,Highball,Cubed,Build,Lime Wedge,EBS Inter,Rum,TBD,
Tequila Sunrise,Highball,Cubed,Build & Sink,None,EBS Inter,Tequila,Good,
Rusty Nail,Rocks,Cubed,Build,Lemon Zest,EBS Inter,Whisky,,
Godfather,Rocks,Cubed,Build,None,EBS Inter,Whisky,,italian movie
Black Russian,Rocks,Cubed,Build,None,EBS Inter,Vodka,,
White Russian,Rocks,Cubed,Build,None,EBS Inter,Vodka,,
Moscow Mule,"Cooper Mug, Highball",Cubed,Build,Lime Wedge,EBS Inter,Vodka,Good,
Woo Woo,Highball,Cubed,Build,Lime Wedge,EBS Inter,Vodka,Good,
Americano,Rocks,Cubed,Build & Stir,"Orange Slice, Orange Zest",EBS Inter,Liqueur,,
Screaming Orgasm,Rocks,Cubed,Shake & Strain,None,EBS Inter,Liqueur,,
El Diablo,Highball,Cubed,Build,Lime Wedge,EBS Inter,Tequila,,"311, ALE diablo"
Sex on the Beach,Highball,Cubed,Build,None,EBS Inter,Vodka,Good,easier to have sex without clothes
Cosmopolitan,Chilled Martini / Coupe,None,Shake & Fine Strain,Orange Zest,EBS Inter,Vodka,Good,"4C (Cointreau=Triple Sec, Citrus=Lime)"
Daiquiri,Chilled Martini / Coupe,None,Shake & Fine Strain,None,EBS Inter,Rum,Good,
French Martini,Chilled Martini / Coupe,None,Shake & Fine Strain,1 Raspberry,EBS Inter,Vodka,,
Lynchburg Lemonade,Highball,Cubed,Shake & Strain,Lemon Wedge,EBS Inter,Whisky,,
Horse’s Neck,Highball,Cubed,Build,Lemon Spiral,EBS Inter,Whisky,,Cowboy on horse
Tom Collins,Highball,Cubed,Shake & Strain,Lemon Wedge,EBS Inter,Gin,Good,
Long Island Iced Tea,Highball,Cubed,Shake & Strain,Lemon Wedge,EBS Inter,,,
Dry Martini,Chilled Martini / Coupe,None,Stir & Julep Strain,"Lemon Zest, Olives",EBS Inter,Vodka,,
Manhattan (Sweet),Chilled Martini / Coupe,None,Stir & Julep Strain,1 Cherry,EBS Inter,Whisky,,
Rob Roy,Chilled Martini / Coupe,None,Stir & Julep Strain,1 Cherry,EBS Inter,Whisky,,
Paloma,Highball,Cubed,Shake & Strain,Salt Rim & Grapefruit Slice,EBS Inter,Tequila,Good,
