Name,Base,Garnish,Glass,Ice,Method,Recipe Source,Taste,learining notes
Gin & Tonic,Gin,Lime Wedge,Highball,Cubed,Build,EBS Inter,,
Spirit & Mixer,,"Lemon Wedge, Lime Wedge, None",Highball,Cubed,Build,EBS Inter,,
Cuba Libre,Rum,Lime Wedge,Highball,Cubed,Build,EBS Inter,TBD,
Tequila Sunrise,Tequila,None,Highball,Cubed,Build & Sink,EBS Inter,Good,
Rusty Nail,Whisky,Lemon Zest,Rocks,Cubed,Build,EBS Inter,,
Godfather,Whisky,None,Rocks,Cubed,Build,EBS Inter,,italian movie
Black Russian,Vodka,None,Rocks,Cubed,Build,EBS Inter,,
White Russian,Vodka,None,Rocks,Cubed,Build,EBS Inter,,
Mojito,Rum,Mint Spring,Highball,Crushed,Muddle Bash Build & Churn,EBS Inter,,
Aperol Spritz,Wine,Orange Slice,"Rocks, Wine",Cubed,Build In Order,EBS Inter,,
Piña Colada,Rum,Pineapple Wedge & Cherry,"Highball, Hurricane",Cubed,Shake & Strain,"EBS Inter, Internet",Favourite,
Moscow Mule,Vodka,Lime Wedge,"Cooper Mug, Highball",Cubed,Build,EBS Inter,Good,
Woo Woo,Vodka,Lime Wedge,Highball,Cubed,Build,EBS Inter,Good,
Americano,Liqueur,"Orange Slice, Orange Zest",Rocks,Cubed,Build & Stir,EBS Inter,,
Screaming Orgasm,Liqueur,None,Rocks,Cubed,Shake & Strain,EBS Inter,,
El Diablo,Tequila,Lime Wedge,Highball,Cubed,Build,EBS Inter,,"311, ALE diablo"
Sex on the Beach,Vodka,None,Highball,Cubed,Build,EBS Inter,Good,easier to have sex without clothes
Cosmopolitan,Vodka,Orange Zest,Chilled Martini / Coupe,None,Shake & Fine Strain,EBS Inter,Good,"4C (Cointreau=Triple Sec, Citrus=Lime)"
Daiquiri,Rum,None,Chilled Martini / Coupe,None,Shake & Fine Strain,EBS Inter,Good,
French Martini,Vodka,1 Raspberry,Chilled Martini / Coupe,None,Shake & Fine Strain,EBS Inter,,
Lynchburg Lemonade,Whisky,Lemon Wedge,Highball,Cubed,Shake & Strain,EBS Inter,,
Horse’s Neck,Whisky,Lemon Spiral,Highball,Cubed,Build,EBS Inter,,Cowboy on horse
Tom Collins,Gin,Lemon Wedge,Highball,Cubed,Shake & Strain,EBS Inter,Good,
Long Island Iced Tea,,Lemon Wedge,Highball,Cubed,Shake & Strain,EBS Inter,,
Dry Martini,Vodka,"Lemon Zest, Olives",Chilled Martini / Coupe,None,Stir & Julep Strain,EBS Inter,,
Manhattan (Sweet),Whisky,1 Cherry,Chilled Martini / Coupe,None,Stir & Julep Strain,EBS Inter,,
Rob Roy,Whisky,1 Cherry,Chilled Martini / Coupe,None,Stir & Julep Strain,EBS Inter,,
Paloma,Tequila,Salt Rim & Grapefruit Slice,Highball,Cubed,Shake & Strain,EBS Inter,Good,
Margarita,Tequila,Salt Rim (Full Half or None),Chilled Martini / Coupe,None,Shake & Fine Strain,EBS Inter,Good,
Side Car,Wine,Sugar Rim (Full Half or None),Chilled Martini / Coupe,None,Shake & Fine Strain,EBS Inter,,
Amaretto Sour,Liqueur,Lemon Wedge & Cherry,Rocks,Cubed,Dry Shake Shake & Strain,EBS Inter,,
Whiskey Sour,Whisky,Orange Zest & Cherry,Sour Glass / Rocks,None / Cubed,Dry Shake Shake & Fine Strain / Strain,EBS Inter,,
Clover Club,Gin,1 Raspberry,Chilled Martini / Coupe,None,Dry Shake Shake & Fine Strain,EBS Inter,,
